City,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
Donskoye,75,92,45.45,41.98,21.2,4.47
Esperance,20,69,10.24,-61.45,82.4,13.87
Pisco,0,30,-13.71,-76.2,71.6,12.75
Kyabe,0,33,9.45,18.94,74.62,8.19
Iqaluit,20,74,63.75,-68.52,-25.61,5.82
Butaritari,80,100,3.07,172.79,79.62,7.63
Obo,0,59,5.39,26.49,68.86,3.49
Mataura,64,62,-46.19,168.86,60.72,14.23
Santa Cruz,1,71,36.97,-122.03,62.6,4.7
Trairi,56,100,-3.28,-39.27,79.39,13.67
Boyolangu,24,96,-8.09,111.9,68.86,2.37
Cherskiy,8,32,68.75,161.3,-22.04,4.16
Puerto Ayora,40,62,-0.74,-90.35,84.2,21.92
Shache,80,91,38.42,77.24,18.51,4.94
Nouadhibou,0,64,20.93,-17.03,65.67,9.64
Vardo,1,61,39.62,-77.74,37.4,6.93
Aswan,0,88,24.09,32.9,40.47,3.6
Luderitz,0,87,-26.65,15.16,61.08,13.22
Bambous Virieux,75,88,-20.34,57.76,80.6,16.11
Tarakan,8,100,3.3,117.63,76.96,4.72
Avera,1,43,33.19,-82.53,71.6,10.29
Katsuura,75,80,33.93,134.5,39.2,4.7
Vao,92,98,59.1,26.19,32.64,5.95
Saskylakh,8,0,71.97,114.09,-41.93,8.63
Klaksvik,64,75,62.23,-6.59,41.0,31.09
Ponta do Sol,36,52,-20.63,-46.0,83.17,7.4
Luan,90,80,46.36,6.98,37.4,2.24
Sawakin,68,86,19.1,37.33,72.19,10.09
Fort-Shevchenko,64,100,44.51,50.26,27.37,13.22
Abhar,0,60,36.14,49.22,24.04,7.96
Kloulklubed,75,78,7.04,134.26,75.2,4.7
Cabo San Lucas,75,73,22.89,-109.91,75.2,12.75
Lahat,92,100,-3.78,103.55,72.91,3.49
Jamestown,8,83,-33.21,138.6,59.55,2.71
Hajan,0,29,14.68,44.13,35.52,3.49
Morehead,75,44,38.18,-83.43,66.02,16.11
Shyryayeve,76,84,47.38,30.2,19.77,12.55
Codrington,92,83,-28.95,153.24,75.2,2.24
Sorland,75,80,67.67,12.69,37.4,18.34
Uyo,44,79,5.03,7.92,78.9,8.63
Makat,68,91,47.65,53.35,17.11,11.99
Rio Grande,40,70,-32.03,-52.1,84.2,17.22
Kovdor,0,85,67.56,30.47,16.08,5.17
Qaanaaq,24,100,77.48,-69.36,-13.81,10.98
Saint-Pierre,90,100,48.95,4.24,44.6,16.11
New Norfolk,20,67,-42.78,147.06,60.8,8.05
Grindavik,40,80,63.84,-22.43,39.2,9.17
Voka,92,97,59.41,27.59,32.37,5.73
Marienburg,90,93,52.12,9.98,44.6,19.46
Diapaga,0,31,12.07,1.79,69.0,9.19
Kirakira,76,100,-10.46,161.92,81.42,14.0
Carnarvon,76,16,-30.97,22.13,74.58,6.29
Penablanca,12,92,17.62,121.79,60.81,2.15
Provideniya,0,100,64.42,-173.23,3.75,29.77
Teguldet,68,73,57.31,88.17,14.01,9.98
Fredericksburg,1,42,30.28,-98.87,78.8,4.72
Orzhytsya,56,83,49.79,32.7,11.58,7.63
Port Blair,32,100,11.67,92.75,82.05,14.0
Chokurdakh,56,49,70.62,147.9,-29.96,3.15
Wanning,75,86,48.64,13.53,37.4,14.99
Georgetown,75,74,6.8,-58.16,84.2,16.11
Portland,75,73,45.52,-122.67,46.04,5.82
Shemonaikha,8,64,50.63,81.92,12.66,10.09
Teguise,20,72,29.06,-13.56,62.6,8.05
Smederevska Palanka,75,85,44.37,20.96,12.2,2.24
Saint-Paul,12,92,45.22,1.9,26.6,2.24
Geraldton,90,85,49.72,-86.95,23.0,8.05
Vilyuysk,44,66,63.75,121.63,-14.84,2.71
Alepe,12,78,5.5,-3.66,82.4,2.24
Shimoda,20,100,34.7,138.93,49.69,16.46
Tura,0,78,25.52,90.21,49.74,3.27
Evanton,40,81,57.66,-4.34,46.4,21.92
Mehamn,0,90,71.03,27.85,32.0,19.46
Te Anau,36,73,-45.41,167.72,55.59,5.95
Toboy,0,76,16.03,120.64,59.28,1.92
Northam,75,87,51.04,-4.21,50.0,10.29
Gamba,44,53,28.28,88.52,-12.37,2.71
Alugan,80,95,12.22,125.48,77.1,15.79
Hasaki,75,79,35.73,140.83,28.4,3.36
Saint-Augustin,90,93,44.83,-0.61,42.8,2.24
Visby,75,100,57.64,18.3,33.8,14.99
Crotone,64,100,39.09,17.12,47.76,27.54
Ancud,75,76,-41.87,-73.83,53.6,8.05
Houma,36,76,35.63,111.36,13.51,2.37
Anadyr,0,71,64.73,177.51,8.6,35.79
Inhambane,0,100,-23.87,35.38,72.64,5.17
Cotonou,20,78,6.37,2.43,80.6,2.24
Korem,12,75,12.51,39.52,35.25,1.25
Meadow Lake,90,77,54.13,-108.44,5.0,23.04
Hilo,40,55,19.71,-155.08,75.92,8.63
Clyde River,90,83,70.47,-68.59,-7.61,17.22
Longyearbyen,75,73,78.22,15.63,24.8,40.26
Castro,75,76,-42.48,-73.76,53.6,8.05
Bethel,90,91,60.79,-161.76,6.8,10.29
Sao Filipe,0,91,14.9,-24.5,74.85,9.75
Port Pirie,0,93,-33.18,138.01,60.8,6.93
Atambua,68,100,-9.11,124.89,75.93,3.15
Pitimbu,20,65,-7.47,-34.81,82.4,13.87
Meulaboh,56,100,4.14,96.13,78.67,4.05
Sal Rei,0,60,16.18,-22.92,71.6,9.17
Srednekolymsk,76,40,67.46,153.71,-26.36,3.15
Chadiza,68,96,-14.06,32.43,67.56,3.71
Cabo Rojo,90,74,18.09,-67.15,78.8,17.22
Bardsir,40,37,29.93,56.57,55.4,6.93
Norman Wells,40,72,65.28,-126.83,-38.21,2.93
Juneau,75,42,58.3,-134.42,21.02,10.29
Beachwood,75,43,41.46,-81.51,48.92,24.16
Ola,88,100,59.58,151.3,-0.85,13.0
Den Helder,20,81,52.96,4.76,50.0,24.16
Santa Rosa,0,59,-36.62,-64.29,83.71,7.96
Witu,90,92,-2.39,40.44,80.24,4.7
Kalaleh,0,75,37.38,55.49,46.4,6.96
Avarua,75,69,-21.21,-159.78,80.6,2.24
Jacobina,88,58,-11.19,-40.51,77.1,5.95
Ust-Nera,36,0,64.57,143.24,-46.03,1.92
Vila,0,100,45.18,8.4,33.8,6.93
Flinders,90,100,-34.58,150.85,68.0,6.93
Ahipara,36,82,-35.17,173.16,70.66,4.16
Grand Gaube,75,88,-20.01,57.66,80.6,13.87
Neunkirchen,75,92,47.72,16.08,30.2,5.82
Kahului,1,56,20.89,-156.47,80.06,11.41
Tigre,20,65,-34.42,-58.58,82.4,6.93
Marijampole,90,92,54.57,23.35,23.0,9.17
Praia da Vitoria,40,100,38.73,-27.07,62.6,21.72
Muroto,8,100,33.37,134.14,37.77,6.06
Sao Felix do Xingu,56,88,-6.64,-51.99,78.04,2.26
Carmo do Paranaiba,32,79,-19.0,-46.32,78.94,4.38
Virginia Beach,75,64,36.85,-75.98,47.66,6.93
Mount Isa,0,57,-20.73,139.49,80.6,4.7
Saldanha,0,81,41.42,-6.55,23.01,3.49
Gorontalo,12,97,0.54,123.06,72.19,2.15
Lufkin,90,81,31.34,-94.73,68.0,6.93
Fort Nelson,75,70,58.81,-122.69,-4.01,6.93
Warrington,75,70,53.39,-2.59,48.2,19.46
Evensk,68,91,61.92,159.24,21.79,28.1
Isla Mujeres,75,78,21.23,-86.73,77.0,11.41
Agua Verde,75,61,22.89,-105.97,80.6,13.87
Port Lincoln,24,100,-34.72,135.86,61.84,9.08
Mahibadhoo,0,100,3.78,72.97,81.51,12.77
Russell,0,52,-33.01,-68.8,72.78,1.14
Lumeje,24,93,-11.56,20.78,68.82,2.71
Sitka,0,33,37.17,-99.65,60.18,8.19
Horsham,76,84,-36.71,142.2,60.72,5.28
Kuching,75,94,1.56,110.34,75.2,2.24
Laguna,75,60,27.52,-110.01,75.2,9.17
Banki,90,69,45.22,13.8,39.2,5.82
Bandarbeyla,48,100,9.49,50.81,76.47,19.04
Missoula,1,51,46.87,-114.0,33.98,21.92
Havoysund,75,100,71.0,24.66,30.2,24.16
Muros,0,80,42.77,-9.06,44.6,5.82
Jurm,76,84,36.86,70.83,15.22,1.7
Sibolga,36,100,1.74,98.78,68.1,2.04
Qrendi,20,76,35.83,14.46,50.0,8.05
Anqiu,0,79,36.48,119.21,16.44,7.96
Ampanihy,20,95,-24.69,44.75,67.24,3.71
Riyadh,5,58,24.63,46.72,55.4,8.05
Rosarito,75,82,4.91,-75.23,80.6,8.05
Santa catarina de Tepehuanes,44,39,25.34,-105.72,69.67,2.71
Faya,0,34,18.39,42.45,55.4,2.37
Gambela,0,67,8.25,34.59,60.63,3.27
Kalangala,24,95,-0.32,32.29,79.57,10.54
Bowen,90,83,-20.01,148.25,75.2,8.05
Aldan,48,64,58.61,125.39,-4.94,3.71
Isangel,24,100,-19.55,169.27,77.41,18.03
Solano,20,81,16.52,121.18,55.99,1.7
Bambanglipuro,12,99,-7.95,110.28,69.94,2.71
Jasper,12,40,33.83,-87.28,69.8,6.93
Vanderhoof,12,62,54.02,-124.02,17.47,4.94
Toktogul,12,67,41.87,72.95,2.13,1.7
Caravelas,24,100,-17.73,-39.27,80.7,14.79
Astoria,40,92,46.19,-123.83,39.92,6.93
Valdemarpils,90,100,57.37,22.59,37.4,9.17
Henties Bay,8,100,-22.12,14.28,62.52,7.52
Takoradi,0,100,4.89,-1.75,79.98,4.61
Banswada,0,75,18.38,77.88,53.47,4.83
Lodja,20,95,-3.52,23.6,71.07,2.15
Camabatela,36,90,-8.19,15.37,67.74,5.28
Harper,1,54,30.3,-99.24,73.04,3.36
Socoltenango,8,55,16.22,-92.25,79.21,1.25
Beringovskiy,88,88,63.05,179.32,20.85,32.79
Gimli,0,85,50.63,-96.99,27.69,14.79
Chake Chake,32,95,-5.25,39.77,82.59,18.48
Kaitangata,12,63,-46.28,169.85,61.44,18.25
Maxcanu,40,37,20.58,-89.98,86.0,4.7
Alofi,75,88,-19.06,-169.92,82.4,11.41
Sinnamary,92,98,5.38,-52.96,78.81,12.21
Huzhou,92,100,30.86,120.1,39.93,4.38
Pelym,88,71,61.01,62.0,10.77,4.61
Lingdong,88,99,28.06,114.24,39.12,2.71
Aklavik,20,67,68.22,-135.01,-14.81,2.59
Les Cayes,24,100,18.19,-73.75,79.26,8.86
Deputatskiy,12,0,69.3,139.9,-50.8,2.59
Termez,90,71,37.23,67.28,50.0,4.7
Tuatapere,20,90,-46.13,167.69,57.79,15.12
Chuy,0,85,-33.69,-53.46,75.66,25.3
Katangli,0,100,51.71,143.23,3.34,18.48
Pangnirtung,5,61,66.15,-65.72,-20.21,4.38
Nyimba,24,88,-14.56,30.81,73.77,1.48
Hamilton,75,59,32.3,-64.78,62.6,23.04
Taoudenni,24,31,22.68,-3.98,52.17,9.75
Coxim,68,69,-18.5,-54.75,81.91,8.3
Los Llanos de Aridane,20,59,28.66,-17.92,66.2,6.93
Itarema,76,92,-2.92,-39.92,76.83,7.74
Berdigestyakh,32,70,62.1,126.7,-16.33,2.71
Tautira,75,74,-17.73,-149.15,84.2,4.7
Verkhnyaya Inta,20,55,65.99,60.32,-11.56,2.71
Labuhan,88,92,-2.54,115.51,74.76,2.15
Nanticoke,90,35,41.21,-76.0,32.0,6.93
Aripuana,100,85,-9.17,-60.63,81.6,1.92
Bagaha,0,92,27.1,84.09,49.65,5.28
Sambava,68,100,-14.27,50.17,80.7,1.59
Mackay,1,65,53.65,-115.58,5.0,10.29
Hami,0,48,42.84,93.51,-3.73,4.16
Vrangel,0,100,42.73,133.08,19.54,19.26
Tabriz,0,79,38.08,46.29,28.4,6.93
Sohbatpur,56,80,28.52,68.54,53.43,2.71
Loandjili,20,83,-4.77,11.87,80.6,3.36
Radhanpur,0,77,23.83,71.61,50.46,3.49
San Patricio,88,91,-26.98,-56.83,79.35,4.94
Ribas do Rio Pardo,44,65,-20.45,-53.76,82.59,10.98
Umba,0,89,66.69,34.34,19.36,11.54
Turtas,8,78,58.94,69.13,10.86,7.4
Margate,20,67,-43.03,147.26,60.8,8.05
Ulaanbaatar,0,67,47.92,106.92,-27.41,4.47
Barraute,90,71,48.43,-77.63,8.6,16.11
Moerai,0,100,-22.43,-151.33,78.18,15.23
Oyama,40,79,36.31,139.8,24.8,1.12
Ziarat,64,79,30.38,67.73,22.47,2.04
Treinta y Tres,8,80,-33.23,-54.39,75.34,15.9
Naze,20,73,5.43,7.07,71.6,4.72
Kropotkin,44,85,45.43,40.58,30.3,6.73
Novikovo,92,100,45.05,34.56,25.44,3.94
Susanville,40,71,40.42,-120.65,44.6,10.29
Buchanan,20,94,5.88,-10.05,75.2,5.61
Hvide Sande,92,93,56.01,8.13,44.6,16.11
Khatanga,36,54,71.98,102.47,-19.12,12.44
Bauchi,12,33,10.31,9.85,62.52,7.18
Barberino di Mugello,0,100,44.0,11.24,32.0,2.24
Sutton Coldfield,20,66,52.56,-1.82,48.2,21.92
San Juan,75,74,18.47,-66.12,80.96,13.87
Kibre Mengist,92,32,5.87,38.99,60.09,3.71
Salinopolis,76,99,-0.61,-47.36,81.01,10.65
Leningradskiy,0,99,69.38,178.42,-8.5,22.06
Sao Joao da Barra,0,65,-21.64,-41.05,82.4,18.34
Ciudad Bolivar,24,37,8.12,-63.55,92.22,13.22
San Vicente,20,52,13.64,-88.78,87.8,9.17
San-Pedro,24,94,4.75,-6.64,78.0,5.17
Paso de Carrasco,75,88,-34.86,-56.05,71.6,12.75
The Valley,40,65,18.22,-63.06,80.6,13.87
Verkhovazhye,88,88,60.75,42.05,21.79,17.25
Vagur,12,100,61.47,-6.81,44.52,30.22
Revelstoke,90,86,50.99,-118.19,33.8,5.82
Santiago del Estero,0,72,-27.8,-64.26,86.32,4.5
Mayo,75,75,63.59,-135.9,-20.21,3.15
Liverpool,75,70,53.41,-2.98,48.2,19.46
Mingshui,92,100,22.81,109.89,50.73,4.38
Manzanillo,24,91,20.34,-77.12,81.82,9.98
San Cristobal,90,76,-0.39,-78.55,57.2,8.05
Atar,32,24,20.52,-13.05,62.43,7.4
Camacha,20,67,33.08,-16.33,60.8,6.93
Vacaria,64,73,-28.51,-50.94,78.09,18.48
Zhezkazgan,80,81,47.8,67.71,12.57,7.96
Touros,75,74,-5.2,-35.46,82.4,11.41
Khandyga,64,73,62.65,135.58,-37.48,0.92
Iranshahr,0,41,27.21,60.69,59.0,4.7
Karakulino,44,77,56.01,53.71,-0.44,8.97
Okhotsk,20,100,59.36,143.24,-21.41,8.63
Clarence Town,20,88,-32.59,151.78,73.4,5.82
Eckernforde,75,87,54.47,9.83,46.4,18.34
El Alto,75,27,-16.5,-68.19,62.6,6.93
Illapel,80,87,-31.63,-71.17,61.53,3.27
Tayoltita,56,34,24.11,-105.93,83.22,2.15
Goderich,92,82,43.74,-81.71,33.18,34.47
Maltahohe,0,44,-24.83,16.98,66.93,8.52
Dunedin,0,76,-45.87,170.5,59.86,5.17
Bitung,40,94,1.44,125.19,77.0,3.36
Hovd,75,80,63.83,10.7,35.6,11.41
Port Lavaca,90,67,28.61,-96.63,78.08,14.99
Tiburon,75,77,37.87,-122.46,60.08,3.36
Mawlaik,92,94,23.63,94.42,58.83,2.15
Luangwa,8,97,-15.62,30.4,73.05,5.39
Ketchikan,90,55,55.34,-131.65,30.92,5.82
Vanimo,12,100,-2.67,141.3,82.95,18.92
Rocha,0,84,-34.48,-54.34,71.43,17.25
Alta Floresta,88,92,-9.87,-56.08,77.46,0.36
Port Hardy,20,80,50.7,-127.42,35.6,5.82
Formosa,75,100,-26.19,-58.17,69.8,9.64
Kontagora,8,50,10.4,5.47,71.88,5.28
Bialogard,92,96,54.01,15.99,35.07,13.44
North Bend,90,82,43.41,-124.22,46.04,5.82
Haines Junction,12,42,60.75,-137.51,-29.38,2.26
Lakselv,0,68,70.05,24.96,32.0,28.86
Lagoa,0,81,37.14,-8.45,50.0,4.7
Quelimane,92,96,-17.88,36.89,77.41,5.17
Gravdal,75,87,59.79,5.78,42.8,2.24
Termini Imerese,20,81,37.98,13.7,46.4,9.17
Miraflores,92,90,5.2,-73.14,58.69,0.92
Bocas del Toro,12,100,9.33,-82.25,80.92,4.16
Kandi,0,34,11.13,2.93,69.36,9.42
Berlevag,0,100,70.86,29.09,32.0,19.46
Thompson,90,92,55.74,-97.86,19.4,6.93
Japura,92,98,-0.42,102.29,73.14,2.37
Beira,0,93,43.2,-8.36,41.0,3.15
Ariquemes,56,81,-9.91,-63.03,80.56,3.27
Kargasok,76,75,59.06,80.87,13.65,8.97
Anuchino,0,61,43.97,133.06,-8.5,4.61
Novomoskovsk,12,76,54.01,38.29,2.49,8.52
Borogontsy,32,64,62.67,131.17,-35.09,2.71
Namibe,0,100,-15.19,12.15,72.96,8.97
Asmara,80,89,15.34,38.93,61.12,1.7
Ayagoz,0,25,47.96,80.43,-18.53,3.27
Senanga,68,86,-16.1,23.3,71.97,6.85
Deder,0,64,9.31,41.44,46.23,1.81
Fairbanks,40,65,64.84,-147.72,-38.21,4.16
Churapcha,32,48,62.0,132.43,-29.83,2.71
Salaverry,20,78,-8.22,-78.98,78.8,9.17
Nome,75,57,30.04,-94.42,73.94,10.29
Lidkoping,92,100,58.51,13.16,39.2,17.22
Leh,48,72,34.16,77.58,-20.92,1.7
Bunbury,75,70,53.12,-2.65,48.2,11.41
Yar-Sale,20,93,66.83,70.83,-7.78,16.69
Ucluelet,5,80,48.94,-125.55,39.2,4.7
Takayama,64,85,36.14,137.25,17.74,2.59
Yamada,75,86,36.58,137.08,41.0,6.93
Dudinka,56,76,69.41,86.18,-4.04,3.71
Dire Dawa,8,64,9.59,41.86,42.04,2.93
Salalah,75,69,17.01,54.1,75.2,4.7
Nabire,12,96,-3.36,135.5,67.2,2.15
Maniitsoq,80,100,65.42,-52.9,15.81,8.75
Vostok,44,81,46.45,135.83,-5.93,2.26
Buala,44,100,-8.15,159.59,80.29,5.73
Foix,90,69,42.97,1.61,39.2,11.41
Bar Harbor,75,35,44.39,-68.2,23.0,5.82
Marystown,44,100,47.17,-55.16,28.68,26.64
Tarragona,0,80,41.12,1.25,33.8,2.24
Terrasini,20,81,38.15,13.08,46.4,9.17
Gondanglegi,24,96,-7.75,112.01,68.86,2.37
Nizwa,0,77,22.93,57.53,50.73,2.37
Lompoc,40,65,34.64,-120.46,66.02,8.05
Ambilobe,36,96,-13.19,49.05,73.27,1.92
Weihe,80,66,32.99,105.33,15.04,1.81
La Ronge,90,78,55.1,-105.3,8.6,17.22
Puchov,90,79,49.12,18.33,24.8,2.24
Green River,90,65,41.53,-109.47,24.98,21.92
Coruripe,92,98,-10.12,-36.18,80.29,13.0
Nuevitas,40,61,21.55,-77.27,82.4,17.22
Mafra,0,30,38.94,-9.33,55.4,3.36
Canutama,64,76,-6.53,-64.38,84.75,3.6
Dumas,0,100,21.09,72.71,67.83,14.12
Morozovsk,92,89,48.35,41.83,15.94,8.08
Maicao,20,59,11.38,-72.24,84.48,15.68
Kununurra,75,83,-15.77,128.74,82.4,5.82
Tunceli,90,100,39.11,39.55,33.8,9.17
Amapa,40,58,15.09,-87.97,84.2,14.99
Hambantota,68,100,6.12,81.12,78.63,8.08
Warri,80,51,5.52,5.75,84.97,7.18
Hun,75,93,50.34,4.87,46.4,19.46
Mutis,88,100,6.23,-77.4,76.96,4.38
Baykit,48,85,61.68,96.39,5.64,6.17
Cockburn Town,8,100,21.46,-71.14,78.99,13.56
Lata,8,69,30.78,78.62,25.62,2.82
Quatre Cocos,75,88,-20.21,57.76,80.6,13.87
Brae,56,81,60.4,-1.35,44.6,35.57
Lodwar,32,45,3.12,35.6,69.27,2.37
Birin,88,100,35.01,36.67,41.64,3.15
Alihe,0,65,50.57,123.73,-15.56,4.94
Guerrero Negro,20,67,27.97,-114.04,68.32,4.38
Grivita,80,76,44.73,27.28,26.02,11.32
Megion,75,78,61.04,76.11,10.4,13.42
Torbay,20,68,47.66,-52.73,28.4,16.11
Valleyview,76,68,55.07,-117.28,3.52,13.67
Watsa,0,94,3.04,29.53,65.89,2.93
Sengiley,44,83,53.96,48.79,-9.41,6.71
Alberton,32,77,-26.25,28.13,69.8,3.94
Kencong,24,96,-7.78,112.24,68.86,2.37
Waingapu,56,100,-9.65,120.26,73.77,3.27
Mogzon,0,60,51.74,111.97,-14.8,6.06
Monte Aprazivel,40,36,-20.77,-49.71,91.4,9.17
Great Falls,90,38,47.5,-111.29,37.04,21.92
Jaisalmer,0,87,26.91,70.91,46.36,3.94
Xam Nua,92,93,20.42,104.04,61.71,2.37
Amuntai,92,99,-2.42,115.25,72.33,2.26
Itacarambi,12,44,-15.1,-44.09,88.44,6.85
Tevaitoa,92,100,-16.78,-151.5,81.87,9.42
Bhandara,0,54,21.16,79.65,59.0,11.54
Yulara,0,24,-25.24,130.99,68.0,9.17
Lima,0,58,-12.06,-77.04,82.4,12.75
Komsomolskiy,24,61,67.55,63.78,-13.58,3.15
Waddan,0,78,29.16,16.14,34.98,4.16
Sortland,75,86,68.69,15.42,35.6,14.99
Axim,8,100,4.87,-2.24,81.37,6.29
Abha,0,34,18.22,42.5,55.4,0.58
Sisimiut,76,100,66.94,-53.67,6.22,3.6
Butembo,36,95,0.12,29.29,60.0,2.26
Fortuna,20,87,38.18,-1.13,50.0,4.7
Honningsvag,24,100,70.98,25.97,35.16,15.01
Marsaxlokk,20,76,35.84,14.54,50.0,8.05
Kieta,32,100,-6.22,155.63,80.43,4.61
Doha,0,88,25.29,51.53,69.8,2.24
Belyy Yar,36,83,53.6,91.39,-4.01,2.24
Gander,90,73,48.95,-54.61,23.0,19.46
Tigil,88,83,57.8,158.67,8.61,6.29
Kirksville,1,62,40.19,-92.58,60.08,14.99
Ibra,0,96,22.69,58.55,53.07,1.81
Marawi,8,96,8.0,124.29,58.06,2.04
Longonjo,24,72,-12.91,15.25,65.67,5.39
Poum,0,61,41.28,20.71,-4.9,1.81
Mae Hong Son,92,99,19.3,97.96,63.24,2.15
Sistranda,75,80,63.73,8.83,35.6,13.87
